event_id,panelist_id,event_date,event_type,risk_score
1,1,2026-08-23,non_response,0.33
2,2,2026-07-05,non_response,0.77
3,2,2026-07-01,non_response,0.78
4,2,2026-08-02,panel_fatigue_flag,0.56
5,2,2026-07-24,complaint,0.89
6,10,2026-08-09,panel_fatigue_flag,0.09
7,11,2026-08-12,panel_fatigue_flag,0.25
8,11,2026-07-02,complaint,0.24
9,12,2026-08-04,panel_fatigue_flag,0.07
10,16,2026-07-01,complaint,0.89
11,16,2026-08-03,equipment_failure,0.52
12,17,2026-08-04,equipment_failure,0.38
13,17,2026-07-02,panel_fatigue_flag,0.14
14,22,2026-08-21,non_response,0.25
15,23,2026-07-07,complaint,0.37
16,23,2026-08-03,non_response,0.25
17,24,2026-07-16,non_response,0.33
18,27,2026-08-09,equipment_failure,0.88
19,27,2026-08-22,equipment_failure,0.51
20,27,2026-07-18,panel_fatigue_flag,0.97
21,29,2026-07-06,equipment_failure,0.32
22,30,2026-07-26,panel_fatigue_flag,0.08
23,32,2026-08-06,non_response,0.89
24,32,2026-08-14,non_response,0.61
25,32,2026-07-20,complaint,0.88
26,32,2026-08-11,complaint,0.61
27,34,2026-07-06,panel_fatigue_flag,0.09
28,37,2026-07-25,panel_fatigue_flag,0.28
29,40,2026-08-05,panel_fatigue_flag,0.34
30,43,2026-07-04,complaint,0.05
31,45,2026-08-14,non_response,0.35
32,49,2026-07-06,panel_fatigue_flag,0.85
33,49,2026-08-24,panel_fatigue_flag,0.96
34,50,2026-08-11,equipment_failure,0.96
35,53,2026-08-06,complaint,0.32
36,55,2026-08-27,complaint,0.23
37,59,2026-07-15,non_response,0.15
38,59,2026-08-27,panel_fatigue_flag,0.12
39,60,2026-07-18,complaint,0.89
40,65,2026-08-29,complaint,0.13
41,66,2026-08-13,equipment_failure,0.08
42,69,2026-08-27,complaint,0.29
43,71,2026-07-12,equipment_failure,0.82
44,71,2026-07-02,non_response,0.91
45,71,2026-08-07,non_response,0.63
46,71,2026-08-18,panel_fatigue_flag,0.81
47,71,2026-08-29,complaint,0.81
48,72,2026-07-20,non_response,0.25
49,72,2026-08-06,non_response,0.3
