panelist_id,date,market,compliance_flag,hours_logged
1,2026-06-01,Guadalajara,1.0,10.5
1,2026-06-02,Guadalajara,1.0,15.0
1,2026-06-03,Guadalajara,1.0,11.4
1,2026-06-04,Guadalajara,1.0,11.8
1,2026-06-05,Guadalajara,1.0,9.9
1,2026-06-06,Guadalajara,1.0,6.7
1,2026-06-07,Guadalajara,1.0,11.4
1,2026-06-08,Guadalajara,1.0,9.3
1,2026-06-09,Guadalajara,1.0,12.9
1,2026-06-10,Guadalajara,1.0,14.8
1,2026-06-11,Guadalajara,1.0,13.4
1,2026-06-12,Guadalajara,1.0,16.0
1,2026-06-13,Guadalajara,1.0,13.1
1,2026-06-14,Guadalajara,1.0,7.4
1,2026-06-15,Guadalajara,1.0,13.1
1,2026-06-16,Guadalajara,1.0,13.5
1,2026-06-17,Guadalajara,1.0,11.4
1,2026-06-18,Guadalajara,1.0,10.6
1,2026-06-19,Guadalajara,1.0,11.0
1,2026-06-20,Guadalajara,1.0,10.9
1,2026-06-21,Guadalajara,1.0,13.7
1,2026-06-22,Guadalajara,,
1,2026-06-23,Guadalajara,1.0,11.7
1,2026-06-24,Guadalajara,1.0,12.0
1,2026-06-25,Guadalajara,1.0,15.6
1,2026-06-26,Guadalajara,1.0,8.3
1,2026-06-27,Guadalajara,1.0,8.9
1,2026-06-28,Guadalajara,1.0,15.1
1,2026-06-29,Guadalajara,1.0,7.0
1,2026-06-30,Guadalajara,1.0,13.3
1,2026-07-01,Guadalajara,1.0,7.0
1,2026-07-02,Guadalajara,1.0,13.9
1,2026-07-03,Guadalajara,0.0,2.0
1,2026-07-04,Guadalajara,1.0,9.7
1,2026-07-05,Guadalajara,0.0,0.2
1,2026-07-06,Guadalajara,1.0,14.4
1,2026-07-07,Guadalajara,1.0,7.2
1,2026-07-08,Guadalajara,1.0,7.7
1,2026-07-09,Guadalajara,1.0,14.4
1,2026-07-10,Guadalajara,1.0,9.1
1,2026-07-11,Guadalajara,1.0,12.1
1,2026-07-12,Guadalajara,1.0,13.4
1,2026-07-13,Guadalajara,1.0,13.9
1,2026-07-14,Guadalajara,1.0,7.1
1,2026-07-15,Guadalajara,1.0,14.6
1,2026-07-16,Guadalajara,1.0,10.7
1,2026-07-17,Guadalajara,1.0,15.2
1,2026-07-18,Guadalajara,1.0,6.3
1,2026-07-19,Guadalajara,1.0,8.5
1,2026-07-20,Guadalajara,1.0,7.7
1,2026-07-21,Guadalajara,0.0,0.9
1,2026-07-22,Guadalajara,1.0,8.8
1,2026-07-23,Guadalajara,1.0,8.1
1,2026-07-24,Guadalajara,1.0,15.8
1,2026-07-25,Guadalajara,1.0,11.6
1,2026-07-26,Guadalajara,1.0,11.4
1,2026-07-27,Guadalajara,1.0,9.0
1,2026-07-28,Guadalajara,1.0,10.0
1,2026-07-29,Guadalajara,1.0,14.0
1,2026-07-30,Guadalajara,1.0,10.7
1,2026-07-31,Guadalajara,1.0,9.8
1,2026-08-01,Guadalajara,1.0,11.9
1,2026-08-02,Guadalajara,1.0,13.1
1,2026-08-03,Guadalajara,1.0,11.3
1,2026-08-04,Guadalajara,1.0,11.0
1,2026-08-05,Guadalajara,1.0,7.0
1,2026-08-06,Guadalajara,1.0,6.8
1,2026-08-07,Guadalajara,1.0,8.7
1,2026-08-08,Guadalajara,1.0,11.3
1,2026-08-09,Guadalajara,1.0,15.8
1,2026-08-10,Guadalajara,1.0,14.7
1,2026-08-11,Guadalajara,1.0,11.5
1,2026-08-12,Guadalajara,1.0,8.0
1,2026-08-13,Guadalajara,1.0,12.0
1,2026-08-14,Guadalajara,1.0,11.7
1,2026-08-15,Guadalajara,1.0,11.6
1,2026-08-16,Guadalajara,1.0,14.1
1,2026-08-17,Guadalajara,1.0,12.0
1,2026-08-18,Guadalajara,1.0,15.6
1,2026-08-19,Guadalajara,1.0,7.4
1,2026-08-20,Guadalajara,1.0,9.2
1,2026-08-21,Guadalajara,0.0,1.9
1,2026-08-22,Guadalajara,1.0,14.5
1,2026-08-23,Guadalajara,1.0,14.8
1,2026-08-24,Guadalajara,1.0,13.0
1,2026-08-25,Guadalajara,1.0,12.2
1,2026-08-26,Guadalajara,1.0,14.3
1,2026-08-27,Guadalajara,1.0,6.3
1,2026-08-28,Guadalajara,1.0,9.5
1,2026-08-29,Guadalajara,1.0,9.6
2,2026-06-01,Guadalajara,1.0,15.7
2,2026-06-02,Guadalajara,1.0,7.1
2,2026-06-03,Guadalajara,1.0,15.9
2,2026-06-04,Guadalajara,1.0,7.8
2,2026-06-05,Guadalajara,1.0,11.1
2,2026-06-06,Guadalajara,1.0,13.0
2,2026-06-07,Guadalajara,1.0,8.2
2,2026-06-08,Guadalajara,1.0,10.2
2,2026-06-09,Guadalajara,1.0,15.0
2,2026-06-10,Guadalajara,1.0,12.8
2,2026-06-11,Guadalajara,1.0,11.3
2,2026-06-12,Guadalajara,1.0,11.0
2,2026-06-13,Guadalajara,1.0,10.1
2,2026-06-14,Guadalajara,1.0,13.2
2,2026-06-15,Guadalajara,1.0,7.4
2,2026-06-16,Guadalajara,1.0,8.7
2,2026-06-17,Guadalajara,1.0,8.5
2,2026-06-18,Guadalajara,1.0,10.9
2,2026-06-19,Guadalajara,1.0,14.4
2,2026-06-20,Guadalajara,1.0,13.7
2,2026-06-21,Guadalajara,1.0,9.5
2,2026-06-22,Guadalajara,1.0,7.8
2,2026-06-23,Guadalajara,1.0,13.7
2,2026-06-24,Guadalajara,1.0,14.4
2,2026-06-25,Guadalajara,1.0,15.2
2,2026-06-26,Guadalajara,1.0,12.1
2,2026-06-27,Guadalajara,1.0,10.0
2,2026-06-28,Guadalajara,1.0,7.4
2,2026-06-29,Guadalajara,1.0,8.7
2,2026-06-30,Guadalajara,1.0,7.6
2,2026-07-01,Guadalajara,1.0,14.5
2,2026-07-02,Guadalajara,1.0,7.5
2,2026-07-03,Guadalajara,1.0,10.7
2,2026-07-04,Guadalajara,1.0,9.5
2,2026-07-05,Guadalajara,1.0,13.0
2,2026-07-06,Guadalajara,1.0,10.6
2,2026-07-07,Guadalajara,1.0,6.8
2,2026-07-08,Guadalajara,,
2,2026-07-09,Guadalajara,1.0,6.1
2,2026-07-10,Guadalajara,1.0,9.1
2,2026-07-11,Guadalajara,1.0,15.6
2,2026-07-12,Guadalajara,1.0,12.9
2,2026-07-13,Guadalajara,1.0,6.9
2,2026-07-14,Guadalajara,1.0,13.6
2,2026-07-15,Guadalajara,1.0,13.6
2,2026-07-16,Guadalajara,1.0,12.4
2,2026-07-17,Guadalajara,1.0,15.0
2,2026-07-18,Guadalajara,1.0,12.9
2,2026-07-19,Guadalajara,0.0,2.0
2,2026-07-20,Guadalajara,0.0,1.8
2,2026-07-21,Guadalajara,1.0,11.6
2,2026-07-22,Guadalajara,1.0,9.1
2,2026-07-23,Guadalajara,1.0,13.3
2,2026-07-24,Guadalajara,1.0,7.2
2,2026-07-25,Guadalajara,1.0,14.0
2,2026-07-26,Guadalajara,1.0,6.5
2,2026-07-27,Guadalajara,1.0,11.2
2,2026-07-28,Guadalajara,1.0,12.5
2,2026-07-29,Guadalajara,1.0,11.6
2,2026-07-30,Guadalajara,1.0,14.8
2,2026-07-31,Guadalajara,1.0,10.4
2,2026-08-01,Guadalajara,1.0,11.7
2,2026-08-02,Guadalajara,1.0,11.4
2,2026-08-03,Guadalajara,1.0,13.4
2,2026-08-04,Guadalajara,1.0,10.3
2,2026-08-05,Guadalajara,1.0,10.2
2,2026-08-06,Guadalajara,1.0,15.9
2,2026-08-07,Guadalajara,,
2,2026-08-08,Guadalajara,0.0,1.2
2,2026-08-09,Guadalajara,1.0,6.7
