panelist_id,market,household_size,age_bracket,income_bracket,join_date,panel_type
1,Guadalajara,4,35-44,C+,2024-07-17,TAM
2,Guadalajara,5,55+,A/B,2024-04-08,TAM
3,Guadalajara,3,25-34,C+,2026-03-31,TAM
4,CDMX,5,55+,C-,2026-04-05,TAM
5,Guadalajara,5,18-24,C+,2024-09-06,TAM
6,Guadalajara,2,25-34,C,2025-05-19,TAM
7,Guadalajara,3,35-44,D+,2025-04-08,TAM
8,CDMX,3,55+,A/B,2026-03-19,Audio
9,Guadalajara,3,35-44,D+,2025-04-10,Audio
10,CDMX,5,18-24,A/B,2025-04-27,TAM
11,Guadalajara,4,18-24,C+,2024-03-02,Audio
12,Guadalajara,3,35-44,C+,2025-04-08,TAM
13,CDMX,5,18-24,D+,2025-09-30,TAM
14,CDMX,2,25-34,C-,2024-11-02,TAM
15,CDMX,4,25-34,C,2024-07-16,Audio
16,Guadalajara,2,18-24,C,2024-02-28,TAM
17,Guadalajara,4,55+,C,2026-02-24,TAM
18,Monterrey,5,45-54,C+,2024-12-07,TAM
19,CDMX,1,55+,C,2025-08-23,Audio
20,Tijuana,4,45-54,C,2025-02-18,TAM
21,CDMX,2,18-24,A/B,2025-12-12,Audio
22,CDMX,5,45-54,D+,2025-11-27,TAM
23,CDMX,4,45-54,D+,2025-04-07,TAM
24,Tijuana,1,18-24,A/B,2024-10-13,TAM
25,Puebla,1,35-44,A/B,2024-10-30,TAM
26,Monterrey,3,35-44,D+,2025-11-22,Audio
27,Tijuana,3,35-44,D+,2024-11-29,TAM
28,Monterrey,2,25-34,D+,2025-11-27,Audio
29,Tijuana,4,55+,C,2024-11-05,TAM
30,Tijuana,4,35-44,C+,2026-01-08,TAM
31,Tijuana,3,18-24,C-,2024-09-29,Audio
32,CDMX,4,25-34,C+,2024-03-15,TAM
33,Guadalajara,4,55+,D+,2024-10-17,TAM
34,Tijuana,1,25-34,C,2025-09-28,TAM
35,CDMX,3,45-54,D+,2024-06-14,TAM
36,Guadalajara,5,35-44,A/B,2025-08-22,TAM
37,CDMX,3,18-24,A/B,2025-09-09,Audio
38,Guadalajara,5,18-24,C,2026-03-03,TAM
39,Guadalajara,1,45-54,C+,2025-09-01,TAM
40,Tijuana,2,55+,D+,2024-04-22,TAM
41,Monterrey,4,45-54,C+,2024-02-19,TAM
42,Monterrey,1,45-54,C-,2024-06-27,TAM
43,Guadalajara,4,18-24,A/B,2024-04-16,TAM
44,Puebla,2,18-24,C+,2025-05-20,TAM
45,Monterrey,2,45-54,C+,2024-10-30,TAM
46,Tijuana,1,18-24,C-,2025-08-20,Audio
47,Guadalajara,2,55+,A/B,2024-10-16,Audio
48,Puebla,5,25-34,C-,2024-03-22,TAM
49,Tijuana,2,18-24,C+,2025-09-26,TAM
50,Guadalajara,4,45-54,C,2025-03-29,TAM
51,Tijuana,4,55+,C-,2024-04-14,TAM
52,Guadalajara,4,18-24,D+,2025-07-03,Audio
53,CDMX,4,18-24,A/B,2026-03-01,TAM
54,Tijuana,5,55+,C+,2024-12-04,TAM
55,Guadalajara,3,25-34,A/B,2024-11-28,TAM
56,Tijuana,1,45-54,A/B,2024-06-10,Audio
57,Guadalajara,4,55+,A/B,2024-09-26,TAM
58,CDMX,2,55+,D+,2025-02-27,TAM
59,Guadalajara,4,35-44,C+,2025-08-08,TAM
60,CDMX,2,35-44,C-,2025-12-19,TAM
61,Tijuana,2,18-24,C-,2024-03-24,TAM
62,Tijuana,4,18-24,D+,2024-10-03,TAM
63,Guadalajara,5,35-44,A/B,2025-08-04,Audio
64,Guadalajara,2,45-54,D+,2025-04-19,Audio
65,Tijuana,2,55+,A/B,2024-08-14,TAM
66,Guadalajara,4,18-24,C+,2024-10-12,TAM
67,CDMX,2,25-34,C,2026-01-13,TAM
68,CDMX,2,25-34,C,2025-09-29,TAM
69,Tijuana,4,18-24,A/B,2025-08-18,TAM
70,Guadalajara,4,18-24,C,2024-01-04,Audio
71,Tijuana,1,25-34,C-,2024-07-19,TAM
72,CDMX,5,18-24,A/B,2025-02-19,Audio
73,Tijuana,5,55+,A/B,2024-05-25,Audio
74,CDMX,2,45-54,C+,2024-09-13,TAM
75,Tijuana,5,18-24,C,2025-04-24,TAM
76,CDMX,2,35-44,D+,2025-08-20,Audio
77,Tijuana,1,25-34,C+,2025-03-12,Audio
78,Puebla,4,45-54,A/B,2024-02-03,TAM
79,Puebla,4,45-54,C+,2025-05-27,TAM
80,CDMX,4,45-54,A/B,2024-02-16,Audio
81,Guadalajara,5,45-54,C,2025-09-17,TAM
82,Tijuana,1,25-34,A/B,2024-02-08,TAM
83,Monterrey,5,18-24,C,2025-03-20,TAM
84,Monterrey,5,55+,C,2024-11-27,Audio
85,Tijuana,1,35-44,C+,2026-01-04,TAM
86,Guadalajara,1,55+,C-,2025-08-04,TAM
87,Monterrey,1,55+,D+,2024-02-17,TAM
88,Guadalajara,1,18-24,C-,2024-09-19,TAM
89,CDMX,4,25-34,C,2024-01-28,TAM
90,Tijuana,3,55+,C,2024-06-21,TAM
91,CDMX,3,35-44,D+,2025-12-26,TAM
92,Monterrey,1,35-44,D+,2025-03-10,TAM
93,CDMX,3,45-54,C+,2025-02-26,TAM
94,Monterrey,3,18-24,C,2025-06-28,TAM
95,Puebla,1,55+,C,2025-02-16,TAM
96,CDMX,3,55+,C-,2025-02-04,Audio
97,CDMX,5,18-24,C,2024-02-07,TAM
98,CDMX,2,18-24,C+,2024-07-23,TAM
99,Puebla,2,25-34,A/B,2025-09-14,TAM
100,CDMX,1,18-24,C-,2025-01-01,TAM
101,CDMX,4,45-54,C-,2024-07-27,TAM
102,CDMX,1,18-24,A/B,2025-12-02,Audio
103,Guadalajara,4,55+,C-,2025-09-20,TAM
104,Tijuana,2,18-24,C-,2025-08-20,TAM
105,CDMX,1,55+,D+,2025-01-12,TAM
106,Tijuana,5,55+,D+,2024-03-20,TAM
107,Monterrey,3,25-34,C-,2024-10-18,TAM
108,Guadalajara,4,35-44,D+,2024-03-24,TAM
109,Guadalajara,3,18-24,C,2025-08-31,TAM
110,Monterrey,3,55+,A/B,2025-05-24,TAM
111,Monterrey,1,25-34,C+,2025-09-08,TAM
112,Monterrey,3,45-54,C-,2025-03-11,TAM
113,Monterrey,5,55+,A/B,2024-01-01,Audio
114,CDMX,3,45-54,A/B,2024-03-10,Audio
115,Puebla,1,45-54,D+,2025-07-01,Audio
116,Puebla,5,25-34,C-,2024-10-20,TAM
117,Monterrey,2,45-54,C,2025-02-10,TAM
118,Monterrey,3,25-34,C-,2024-02-05,Audio
119,CDMX,1,45-54,D+,2024-08-03,TAM
120,Guadalajara,2,45-54,C+,2026-04-05,Audio
121,Guadalajara,2,45-54,C,2025-10-28,TAM
122,Monterrey,4,45-54,C,2025-06-02,Audio
123,Monterrey,5,18-24,C-,2024-01-02,TAM
124,Guadalajara,3,35-44,C+,2024-10-27,TAM
125,Tijuana,1,18-24,A/B,2024-02-23,Audio
126,Puebla,4,55+,C+,2025-10-10,TAM
127,CDMX,5,55+,C+,2025-01-03,TAM
128,Puebla,4,25-34,D+,2025-08-13,TAM
129,CDMX,5,25-34,C,2024-03-28,TAM
130,Tijuana,5,55+,C-,2026-04-06,TAM
131,Guadalajara,3,55+,C+,2024-04-30,TAM
132,Monterrey,5,55+,A/B,2024-03-02,Audio
133,Puebla,4,35-44,D+,2024-09-30,TAM
134,Guadalajara,5,35-44,A/B,2025-04-18,Audio
135,Monterrey,3,45-54,C,2024-01-11,TAM
136,Monterrey,3,25-34,C-,2024-01-05,TAM
137,Tijuana,4,35-44,D+,2024-11-14,Audio
138,Puebla,2,45-54,C-,2024-10-28,Audio
139,Guadalajara,2,25-34,A/B,2024-09-03,TAM
140,Guadalajara,5,45-54,D+,2025-01-26,TAM
141,Monterrey,1,45-54,C,2025-04-09,TAM
142,Monterrey,5,35-44,C,2025-09-27,TAM
143,CDMX,4,35-44,D+,2024-08-30,TAM
144,Guadalajara,4,45-54,C-,2025-10-19,TAM
145,CDMX,4,45-54,C-,2025-08-29,Audio
146,Guadalajara,4,45-54,C+,2026-01-27,TAM
147,Monterrey,4,55+,D+,2024-09-14,TAM
148,CDMX,3,35-44,C-,2024-03-30,TAM
149,Guadalajara,2,25-34,C,2025-08-18,TAM
150,Tijuana,4,25-34,C+,2024-10-31,TAM
151,Guadalajara,1,55+,D+,2024-12-23,TAM
152,Puebla,1,35-44,C+,2026-01-20,TAM
153,Guadalajara,1,55+,C+,2025-06-27,TAM
154,CDMX,1,25-34,C-,2026-03-08,TAM
155,CDMX,3,45-54,C-,2026-04-20,TAM
156,Tijuana,1,35-44,C-,2025-10-26,TAM
157,Monterrey,4,18-24,D+,2026-02-25,TAM
158,Guadalajara,5,55+,C,2026-03-09,TAM
159,Guadalajara,1,45-54,D+,2025-08-21,TAM
160,Guadalajara,3,55+,C-,2024-08-07,TAM
161,Guadalajara,3,55+,C-,2025-02-03,TAM
162,Guadalajara,1,18-24,C+,2024-08-05,TAM
163,CDMX,5,25-34,C+,2025-08-05,TAM
164,Guadalajara,1,45-54,C-,2026-02-15,TAM
165,Guadalajara,3,25-34,C,2025-01-06,Audio
166,Tijuana,2,18-24,C+,2024-05-13,Audio
167,Puebla,4,55+,C+,2024-02-16,TAM
168,Guadalajara,3,25-34,C,2024-10-22,Audio
169,Guadalajara,1,35-44,D+,2026-02-18,Audio
170,Tijuana,4,45-54,A/B,2024-09-27,TAM
171,CDMX,1,35-44,D+,2025-06-25,TAM
172,Guadalajara,1,18-24,C-,2025-02-08,Audio
173,Guadalajara,2,18-24,C+,2024-08-22,Audio
174,Tijuana,4,55+,A/B,2023-12-28,Audio
175,Puebla,4,55+,A/B,2024-06-13,Audio
176,Monterrey,2,45-54,C,2025-11-04,TAM
177,Monterrey,3,45-54,A/B,2024-09-10,TAM
178,Monterrey,1,18-24,C+,2025-03-10,TAM
179,Monterrey,5,45-54,D+,2024-05-22,TAM
180,Monterrey,1,35-44,A/B,2026-02-01,Audio
181,Tijuana,1,18-24,D+,2025-03-15,TAM
182,Guadalajara,3,35-44,D+,2026-03-08,Audio
183,Monterrey,1,18-24,C+,2024-07-31,TAM
184,Tijuana,2,45-54,C-,2025-12-19,TAM
185,CDMX,2,25-34,C+,2024-07-26,TAM
186,CDMX,4,18-24,C+,2026-04-18,Audio
187,Monterrey,5,18-24,C+,2026-01-06,TAM
188,Guadalajara,1,35-44,C-,2024-04-29,Audio
189,Guadalajara,1,55+,C+,2025-01-04,TAM
190,CDMX,3,25-34,A/B,2024-08-27,TAM
191,Tijuana,2,35-44,D+,2024-02-14,TAM
192,Guadalajara,5,35-44,D+,2026-04-30,TAM
193,Monterrey,4,25-34,C-,2024-06-26,TAM
194,Monterrey,2,55+,C-,2025-05-14,TAM
195,Tijuana,4,25-34,D+,2025-06-07,TAM
196,Monterrey,3,35-44,C-,2024-02-28,Audio
197,Monterrey,3,25-34,C-,2024-01-23,Audio
198,CDMX,1,55+,C,2025-12-24,Audio
199,Monterrey,5,55+,C-,2023-12-19,TAM
200,Monterrey,4,25-34,A/B,2025-12-06,TAM
201,Monterrey,2,45-54,A/B,2025-08-04,Audio
202,Tijuana,3,45-54,C,2024-06-11,TAM
203,Monterrey,1,55+,A/B,2024-03-16,TAM
204,CDMX,1,35-44,C+,2025-09-04,Audio
205,Tijuana,4,18-24,C-,2025-02-12,TAM
206,Tijuana,3,18-24,C,2025-06-30,Audio
207,Monterrey,5,45-54,C+,2025-07-06,TAM
208,CDMX,3,25-34,C+,2025-03-07,TAM
209,Tijuana,4,55+,C+,2024-08-16,TAM
210,Guadalajara,4,45-54,C,2024-09-12,TAM
211,Guadalajara,3,45-54,C,2024-06-19,TAM
212,Guadalajara,4,35-44,D+,2025-11-22,TAM
213,CDMX,3,45-54,C,2025-02-22,TAM
214,Tijuana,2,18-24,C+,2025-04-04,TAM
215,CDMX,3,35-44,A/B,2025-04-30,Audio
216,Monterrey,3,18-24,D+,2024-06-27,Audio
217,CDMX,4,18-24,D+,2024-02-26,Audio
218,Tijuana,4,35-44,C+,2024-01-01,TAM
219,Guadalajara,1,25-34,D+,2025-05-07,TAM
220,CDMX,1,25-34,A/B,2024-03-20,Audio
221,Guadalajara,2,45-54,A/B,2024-07-10,TAM
222,Guadalajara,1,35-44,C,2024-04-13,Audio
223,Guadalajara,3,55+,C,2025-11-04,TAM
224,Puebla,4,35-44,C-,2025-07-27,Audio
225,CDMX,1,35-44,A/B,2025-07-04,TAM
226,Guadalajara,1,25-34,C-,2026-02-14,Audio
227,CDMX,2,18-24,C-,2024-01-30,TAM
228,Guadalajara,2,35-44,C,2024-10-30,TAM
229,CDMX,3,35-44,A/B,2024-01-11,TAM
230,Guadalajara,4,55+,C,2025-01-05,Audio
231,CDMX,2,45-54,C,2025-09-18,TAM
232,Guadalajara,1,18-24,C,2026-01-03,Audio
233,Guadalajara,4,55+,C+,2026-01-04,TAM
234,CDMX,4,55+,C-,2025-04-18,TAM
235,Guadalajara,1,45-54,A/B,2024-04-18,Audio
236,Monterrey,2,35-44,A/B,2024-08-10,TAM
237,Monterrey,1,25-34,C,2025-09-22,TAM
238,Monterrey,4,35-44,A/B,2024-05-30,TAM
239,Tijuana,5,45-54,A/B,2025-10-20,TAM
240,CDMX,5,18-24,A/B,2024-07-14,Audio
241,Tijuana,3,55+,C+,2025-08-26,TAM
242,CDMX,1,55+,C+,2024-03-10,Audio
243,Monterrey,1,25-34,D+,2025-09-06,TAM
244,Tijuana,3,55+,C,2025-12-05,Audio
245,CDMX,3,18-24,C+,2026-01-10,TAM
246,Puebla,3,55+,C,2024-02-14,TAM
247,Guadalajara,4,45-54,D+,2025-08-04,TAM
248,Monterrey,1,35-44,D+,2026-02-26,TAM
249,CDMX,4,55+,A/B,2025-01-25,Audio
250,CDMX,3,45-54,A/B,2024-06-27,TAM
251,Puebla,1,45-54,A/B,2024-12-28,TAM
252,Guadalajara,4,18-24,C,2025-02-02,TAM
253,Guadalajara,4,55+,D+,2026-02-24,TAM
254,Monterrey,3,55+,D+,2025-06-04,TAM
255,CDMX,1,18-24,A/B,2024-12-01,Audio
256,Tijuana,3,55+,C+,2024-07-05,TAM
257,Monterrey,1,45-54,C-,2025-09-11,TAM
258,Monterrey,5,35-44,C,2026-01-25,TAM
259,CDMX,2,45-54,A/B,2025-11-27,TAM
260,Guadalajara,2,18-24,C,2026-02-04,Audio
261,Guadalajara,2,55+,D+,2024-10-10,TAM
262,Monterrey,3,45-54,A/B,2025-12-28,Audio
263,Monterrey,5,18-24,D+,2024-08-26,TAM
264,CDMX,1,25-34,A/B,2025-11-25,TAM
265,Monterrey,4,35-44,D+,2024-10-10,TAM
266,Puebla,1,55+,D+,2025-02-17,TAM
267,Guadalajara,4,35-44,A/B,2024-10-09,TAM
268,Puebla,1,35-44,C,2024-05-13,TAM
269,CDMX,5,45-54,A/B,2025-12-07,TAM
270,Tijuana,4,18-24,D+,2024-07-23,TAM
271,Monterrey,3,25-34,C,2025-02-27,TAM
272,Puebla,1,55+,D+,2025-06-04,TAM
273,Guadalajara,1,55+,A/B,2026-03-10,TAM
274,Monterrey,4,45-54,C-,2025-07-28,TAM
275,Guadalajara,3,55+,A/B,2025-03-04,TAM
276,Guadalajara,3,55+,C-,2026-01-09,TAM
277,Guadalajara,5,45-54,D+,2025-06-21,TAM
278,Monterrey,3,25-34,C+,2025-10-05,Audio
279,Monterrey,3,18-24,C-,2025-07-10,Audio
280,Guadalajara,3,55+,C+,2025-11-04,TAM
281,CDMX,2,35-44,A/B,2023-12-31,TAM
282,Guadalajara,5,18-24,C-,2024-04-03,Audio
283,CDMX,1,55+,C-,2025-06-16,Audio
284,Guadalajara,4,45-54,A/B,2025-03-01,Audio
285,Puebla,1,55+,C-,2025-11-08,Audio
286,Guadalajara,5,18-24,C+,2025-04-27,TAM
287,CDMX,4,45-54,C,2025-03-18,Audio
288,Monterrey,5,25-34,A/B,2025-09-18,TAM
289,CDMX,3,25-34,C,2026-01-06,TAM
290,CDMX,4,25-34,C+,2024-01-15,TAM
291,Guadalajara,3,55+,C+,2025-08-13,Audio
292,Guadalajara,1,45-54,C-,2024-06-30,Audio
293,CDMX,1,55+,D+,2024-03-15,TAM
294,Monterrey,4,45-54,A/B,2024-07-29,TAM
295,Monterrey,4,35-44,D+,2024-07-25,TAM
296,Guadalajara,5,45-54,C-,2024-11-29,TAM
297,Puebla,5,18-24,A/B,2025-04-20,TAM
298,Monterrey,3,55+,D+,2024-11-29,Audio
299,Tijuana,4,45-54,D+,2024-04-06,TAM
