market,date,expected_responses,actual_responses
Guadalajara,2026-06-01,149,140
Guadalajara,2026-06-02,149,143
Guadalajara,2026-06-03,149,137
Guadalajara,2026-06-04,149,138
Guadalajara,2026-06-05,149,137
Guadalajara,2026-06-06,149,137
Guadalajara,2026-06-07,149,137
Guadalajara,2026-06-08,149,143
Guadalajara,2026-06-09,149,140
Guadalajara,2026-06-10,149,136
Guadalajara,2026-06-11,149,139
Guadalajara,2026-06-12,149,136
Guadalajara,2026-06-13,149,138
Guadalajara,2026-06-14,149,140
Guadalajara,2026-06-15,149,136
Guadalajara,2026-06-16,149,136
Guadalajara,2026-06-17,149,137
Guadalajara,2026-06-18,149,140
Guadalajara,2026-06-19,149,142
Guadalajara,2026-06-20,149,138
Guadalajara,2026-06-21,149,142
Guadalajara,2026-06-22,149,140
Guadalajara,2026-06-23,149,139
Guadalajara,2026-06-24,149,136
Guadalajara,2026-06-25,149,142
Guadalajara,2026-06-26,149,141
Guadalajara,2026-06-27,149,136
Guadalajara,2026-06-28,149,141
Guadalajara,2026-06-29,149,140
Guadalajara,2026-06-30,149,136
Guadalajara,2026-07-01,149,141
Guadalajara,2026-07-02,149,140
Guadalajara,2026-07-03,149,140
Guadalajara,2026-07-04,149,142
Guadalajara,2026-07-05,149,141
Guadalajara,2026-07-06,149,142
Guadalajara,2026-07-07,149,138
Guadalajara,2026-07-08,149,140
Guadalajara,2026-07-09,149,143
Guadalajara,2026-07-10,149,140
Guadalajara,2026-07-11,149,139
Guadalajara,2026-07-12,149,139
Guadalajara,2026-07-13,149,141
Guadalajara,2026-07-14,149,138
Guadalajara,2026-07-15,149,136
Guadalajara,2026-07-16,149,142
Guadalajara,2026-07-17,149,139
Guadalajara,2026-07-18,149,139
Guadalajara,2026-07-19,149,138
Guadalajara,2026-07-20,149,142
Guadalajara,2026-07-21,149,137
Guadalajara,2026-07-22,149,138
Guadalajara,2026-07-23,149,138
Guadalajara,2026-07-24,149,139
Guadalajara,2026-07-25,149,142
Guadalajara,2026-07-26,149,137
Guadalajara,2026-07-27,149,140
Guadalajara,2026-07-28,149,140
Guadalajara,2026-07-29,149,138
Guadalajara,2026-07-30,149,139
Guadalajara,2026-07-31,149,139
Guadalajara,2026-08-01,149,137
Guadalajara,2026-08-02,149,139
Guadalajara,2026-08-03,149,137
Guadalajara,2026-08-04,149,137
Guadalajara,2026-08-05,149,142
Guadalajara,2026-08-06,149,142
Guadalajara,2026-08-07,149,138
Guadalajara,2026-08-08,149,136
Guadalajara,2026-08-09,149,142
Guadalajara,2026-08-10,149,141
Guadalajara,2026-08-11,149,139
Guadalajara,2026-08-12,149,140
Guadalajara,2026-08-13,149,142
Guadalajara,2026-08-14,149,143
Guadalajara,2026-08-15,149,139
Guadalajara,2026-08-16,149,139
Guadalajara,2026-08-17,149,142
Guadalajara,2026-08-18,149,141
Guadalajara,2026-08-19,149,141
Guadalajara,2026-08-20,149,140
Guadalajara,2026-08-21,149,138
Guadalajara,2026-08-22,149,137
Guadalajara,2026-08-23,149,142
Guadalajara,2026-08-24,149,137
Guadalajara,2026-08-25,149,139
Guadalajara,2026-08-26,149,139
Guadalajara,2026-08-27,149,142
Guadalajara,2026-08-28,149,141
Guadalajara,2026-08-29,149,137
CDMX,2026-06-01,127,116
CDMX,2026-06-02,127,111
CDMX,2026-06-03,127,115
CDMX,2026-06-04,127,112
CDMX,2026-06-05,127,111
CDMX,2026-06-06,127,112
CDMX,2026-06-07,127,114
CDMX,2026-06-08,127,115
CDMX,2026-06-09,127,114
CDMX,2026-06-10,127,115
CDMX,2026-06-11,127,116
CDMX,2026-06-12,127,110
CDMX,2026-06-13,127,114
CDMX,2026-06-14,127,113
CDMX,2026-06-15,127,114
CDMX,2026-06-16,127,111
CDMX,2026-06-17,127,111
CDMX,2026-06-18,127,114
CDMX,2026-06-19,127,115
CDMX,2026-06-20,127,113
CDMX,2026-06-21,127,111
CDMX,2026-06-22,127,115
CDMX,2026-06-23,127,111
CDMX,2026-06-24,127,115
CDMX,2026-06-25,127,115
CDMX,2026-06-26,127,111
CDMX,2026-06-27,127,113
CDMX,2026-06-28,127,111
CDMX,2026-06-29,127,115
CDMX,2026-06-30,127,115
CDMX,2026-07-01,127,116
CDMX,2026-07-02,127,111
CDMX,2026-07-03,127,114
CDMX,2026-07-04,127,115
CDMX,2026-07-05,127,113
CDMX,2026-07-06,127,112
CDMX,2026-07-07,127,114
CDMX,2026-07-08,127,113
CDMX,2026-07-09,127,113
CDMX,2026-07-10,127,114
CDMX,2026-07-11,127,113
CDMX,2026-07-12,127,115
CDMX,2026-07-13,127,114
CDMX,2026-07-14,127,116
CDMX,2026-07-15,127,113
CDMX,2026-07-16,127,114
CDMX,2026-07-17,127,111
CDMX,2026-07-18,127,115
CDMX,2026-07-19,127,114
CDMX,2026-07-20,127,113
CDMX,2026-07-21,127,116
CDMX,2026-07-22,127,113
CDMX,2026-07-23,127,111
CDMX,2026-07-24,127,112
CDMX,2026-07-25,127,116
CDMX,2026-07-26,127,112
CDMX,2026-07-27,127,116
CDMX,2026-07-28,127,114
CDMX,2026-07-29,127,112
CDMX,2026-07-30,127,111
CDMX,2026-07-31,127,113
CDMX,2026-08-01,127,113
CDMX,2026-08-02,127,112
CDMX,2026-08-03,127,111
CDMX,2026-08-04,127,116
CDMX,2026-08-05,127,114
CDMX,2026-08-06,127,113
CDMX,2026-08-07,127,112
CDMX,2026-08-08,127,114
CDMX,2026-08-09,127,113
CDMX,2026-08-10,127,115
CDMX,2026-08-11,127,114
CDMX,2026-08-12,127,113
CDMX,2026-08-13,127,112
CDMX,2026-08-14,127,111
CDMX,2026-08-15,127,112
CDMX,2026-08-16,127,111
CDMX,2026-08-17,127,115
CDMX,2026-08-18,127,112
CDMX,2026-08-19,127,114
CDMX,2026-08-20,127,114
CDMX,2026-08-21,127,112
CDMX,2026-08-22,127,114
CDMX,2026-08-23,127,114
CDMX,2026-08-24,127,110
CDMX,2026-08-25,127,114
CDMX,2026-08-26,127,115
CDMX,2026-08-27,127,111
CDMX,2026-08-28,127,113
CDMX,2026-08-29,127,112
Monterrey,2026-06-01,107,100
Monterrey,2026-06-02,107,101
Monterrey,2026-06-03,107,99
Monterrey,2026-06-04,107,100
Monterrey,2026-06-05,107,99
Monterrey,2026-06-06,107,98
Monterrey,2026-06-07,107,98
Monterrey,2026-06-08,107,101
Monterrey,2026-06-09,107,100
Monterrey,2026-06-10,107,100
Monterrey,2026-06-11,107,100
Monterrey,2026-06-12,107,98
Monterrey,2026-06-13,107,98
Monterrey,2026-06-14,107,101
Monterrey,2026-06-15,107,99
Monterrey,2026-06-16,107,97
Monterrey,2026-06-17,107,99
Monterrey,2026-06-18,107,98
Monterrey,2026-06-19,107,101
Monterrey,2026-06-20,107,99
Monterrey,2026-06-21,107,102
Monterrey,2026-06-22,107,97
Monterrey,2026-06-23,107,99
Monterrey,2026-06-24,107,97
Monterrey,2026-06-25,107,98
Monterrey,2026-06-26,107,98
Monterrey,2026-06-27,107,98
Monterrey,2026-06-28,107,102
Monterrey,2026-06-29,107,98
Monterrey,2026-06-30,107,97
Monterrey,2026-07-01,107,101
Monterrey,2026-07-02,107,100
Monterrey,2026-07-03,107,98
Monterrey,2026-07-04,107,100
Monterrey,2026-07-05,107,101
Monterrey,2026-07-06,107,97
Monterrey,2026-07-07,107,98
Monterrey,2026-07-08,107,99
Monterrey,2026-07-09,107,99
Monterrey,2026-07-10,107,99
Monterrey,2026-07-11,107,97
Monterrey,2026-07-12,107,101
Monterrey,2026-07-13,107,100
Monterrey,2026-07-14,107,102
Monterrey,2026-07-15,107,101
Monterrey,2026-07-16,107,99
Monterrey,2026-07-17,107,98
Monterrey,2026-07-18,107,97
Monterrey,2026-07-19,107,98
Monterrey,2026-07-20,107,101
Monterrey,2026-07-21,107,101
Monterrey,2026-07-22,107,101
Monterrey,2026-07-23,107,101
Monterrey,2026-07-24,107,98
Monterrey,2026-07-25,107,101
Monterrey,2026-07-26,107,97
Monterrey,2026-07-27,107,99
Monterrey,2026-07-28,107,102
Monterrey,2026-07-29,107,100
Monterrey,2026-07-30,107,100
Monterrey,2026-07-31,107,98
Monterrey,2026-08-01,107,100
Monterrey,2026-08-02,107,99
Monterrey,2026-08-03,107,99
Monterrey,2026-08-04,107,98
Monterrey,2026-08-05,107,97
Monterrey,2026-08-06,107,98
Monterrey,2026-08-07,107,99
Monterrey,2026-08-08,107,101
Monterrey,2026-08-09,107,98
Monterrey,2026-08-10,107,100
Monterrey,2026-08-11,107,98
Monterrey,2026-08-12,107,99
Monterrey,2026-08-13,107,89
Monterrey,2026-08-14,107,93
Monterrey,2026-08-15,107,91
Monterrey,2026-08-16,107,89
Monterrey,2026-08-17,107,80
Monterrey,2026-08-18,107,89
Monterrey,2026-08-19,107,82
Monterrey,2026-08-20,107,91
Monterrey,2026-08-21,107,83
Monterrey,2026-08-22,107,86
Monterrey,2026-08-23,107,84
Monterrey,2026-08-24,107,93
Monterrey,2026-08-25,107,93
Monterrey,2026-08-26,107,91
Monterrey,2026-08-27,107,89
Monterrey,2026-08-28,107,89
Monterrey,2026-08-29,107,88
Tijuana,2026-06-01,77,72
Tijuana,2026-06-02,77,71
Tijuana,2026-06-03,77,70
Tijuana,2026-06-04,77,73
Tijuana,2026-06-05,77,72
