panelist_id,market,panel_type,composite_risk_score,recent_noncompliance_rate,baseline_noncompliance_rate,recent_missing_days,compliance_z_score,event_risk_sum
157,Monterrey,TAM,100.0,0.667,0.043,0.0,11.84,2.79
254,Monterrey,TAM,100.0,0.533,0.043,1.0,9.3,1.7
97,CDMX,TAM,100.0,0.667,0.043,0.0,11.84,0.56
336,Monterrey,TAM,100.0,0.467,0.022,0.0,11.82,1.57
413,Puebla,Audio,100.0,0.6,0.109,0.0,6.11,3.96
138,Puebla,Audio,100.0,0.267,0.0,0.0,10.38,0.17
261,Guadalajara,TAM,100.0,0.667,0.087,0.0,7.97,2.2199999999999998
140,Guadalajara,TAM,99.8,0.333,0.022,0.0,8.28,1.7000000000000002
362,Monterrey,Audio,96.3,0.533,0.065,0.0,7.34,2.29
356,Tijuana,TAM,90.2,0.333,0.065,0.0,4.21,4.81
447,Puebla,TAM,87.8,0.333,0.022,1.0,8.28,0.0
71,Tijuana,TAM,86.1,0.533,0.13,0.0,4.63,3.98
116,Puebla,TAM,85.1,0.467,0.065,0.0,6.3,2.21
237,Monterrey,TAM,85.1,0.467,0.109,2.0,4.45,3.06
462,CDMX,Audio,84.2,0.733,0.13,0.0,6.93,1.49
332,Puebla,TAM,84.2,0.533,0.109,0.0,5.28,3.14
318,CDMX,TAM,83.0,0.467,0.065,1.0,6.3,1.5
77,Tijuana,Audio,81.3,0.4,0.065,0.0,5.25,2.88
50,Guadalajara,TAM,80.1,0.6,0.087,0.0,7.05,0.96
262,Monterrey,Audio,78.7,0.333,0.043,1.0,5.5,1.87
128,Puebla,TAM,78.6,0.533,0.065,0.0,7.34,0.52
294,Monterrey,TAM,78.1,0.4,0.065,0.0,5.25,2.56
169,Guadalajara,Audio,77.1,0.667,0.196,0.0,4.6,3.11
277,Guadalajara,TAM,75.5,0.467,0.065,1.0,6.3,0.75
288,Monterrey,TAM,72.7,0.467,0.109,0.0,4.45,2.8200000000000003
246,Puebla,TAM,72.5,0.533,0.109,1.0,5.28,1.47
389,Tijuana,TAM,70.7,0.533,0.109,0.0,5.28,1.79
198,CDMX,Audio,68.9,0.6,0.174,0.0,4.35,2.54
27,Tijuana,TAM,68.1,0.467,0.109,0.0,4.45,2.36
175,Puebla,Audio,66.7,0.533,0.13,0.0,4.63,2.04
218,Tijuana,TAM,65.7,0.467,0.065,0.0,6.3,0.27
245,CDMX,TAM,63.0,0.6,0.217,0.0,3.59,2.71
457,CDMX,TAM,62.5,0.533,0.217,0.0,2.97,3.28
102,CDMX,Audio,60.5,0.267,0.109,1.0,1.97,3.58
150,Tijuana,TAM,60.2,0.467,0.109,0.0,4.45,1.5699999999999998
281,CDMX,TAM,57.9,0.4,0.087,0.0,4.3,1.49
152,Puebla,TAM,57.1,0.333,0.109,0.0,2.8,2.91
49,Tijuana,TAM,56.9,0.667,0.239,0.0,3.88,1.81
347,Guadalajara,TAM,56.8,0.467,0.13,0.0,3.87,1.81
123,Monterrey,TAM,55.7,0.667,0.174,0.0,5.03,0.54
88,Guadalajara,TAM,55.4,0.533,0.152,0.0,4.11,1.4300000000000002
491,CDMX,TAM,55.0,0.4,0.109,1.0,3.62,1.38
326,Monterrey,TAM,53.6,0.533,0.152,0.0,4.11,1.25
341,CDMX,TAM,53.3,0.4,0.109,0.0,3.62,1.71
159,Guadalajara,TAM,53.2,0.533,0.13,0.0,4.63,0.69
