panelist_id,date,market,device_type,tenure_months,compliance_flag,hours_logged
1,2026-08-12,Monterrey,Meter_v2,2,1,9.4
1,2026-08-13,Monterrey,Meter_v2,2,1,14.0
1,2026-08-14,Monterrey,Meter_v2,2,1,9.1
1,2026-08-15,Monterrey,Meter_v2,2,1,14.6
1,2026-08-16,Monterrey,Meter_v2,2,1,7.7
1,2026-08-17,Monterrey,Meter_v2,2,1,11.9
1,2026-08-18,Monterrey,Meter_v2,2,1,14.3
1,2026-08-19,Monterrey,Meter_v2,2,0,2.8
1,2026-08-20,Monterrey,Meter_v2,2,1,14.2
1,2026-08-21,Monterrey,Meter_v2,2,1,10.1
1,2026-08-22,Monterrey,Meter_v2,2,1,9.2
1,2026-08-23,Monterrey,Meter_v2,2,1,13.4
1,2026-08-24,Monterrey,Meter_v2,2,1,9.3
1,2026-08-25,Monterrey,Meter_v2,2,1,8.0
1,2026-08-26,Monterrey,Meter_v2,2,1,13.6
1,2026-08-27,Monterrey,Meter_v2,2,1,9.7
1,2026-08-28,Monterrey,Meter_v2,2,1,8.3
1,2026-08-29,Monterrey,Meter_v2,2,1,13.8
1,2026-08-30,Monterrey,Meter_v2,2,1,12.3
1,2026-08-31,Monterrey,Meter_v2,2,1,9.3
1,2026-09-01,Monterrey,Meter_v2,2,0,2.4
2,2026-08-12,CDMX,Meter_v2,28,1,9.3
2,2026-08-13,CDMX,Meter_v2,28,1,6.7
2,2026-08-14,CDMX,Meter_v2,28,1,12.2
2,2026-08-15,CDMX,Meter_v2,28,1,7.5
2,2026-08-16,CDMX,Meter_v2,28,1,6.9
2,2026-08-17,CDMX,Meter_v2,28,1,7.8
2,2026-08-18,CDMX,Meter_v2,28,0,1.7
2,2026-08-19,CDMX,Meter_v2,28,1,8.4
2,2026-08-20,CDMX,Meter_v2,28,1,10.6
2,2026-08-21,CDMX,Meter_v2,28,1,11.4
2,2026-08-22,CDMX,Meter_v2,28,1,10.5
2,2026-08-23,CDMX,Meter_v2,28,1,14.7
2,2026-08-24,CDMX,Meter_v2,28,1,14.1
2,2026-08-25,CDMX,Meter_v2,28,1,7.2
2,2026-08-26,CDMX,Meter_v2,28,1,10.3
2,2026-08-27,CDMX,Meter_v2,28,1,9.2
2,2026-08-28,CDMX,Meter_v2,28,1,11.3
2,2026-08-29,CDMX,Meter_v2,28,1,9.4
2,2026-08-30,CDMX,Meter_v2,28,1,8.9
2,2026-08-31,CDMX,Meter_v2,28,0,2.9
2,2026-09-01,CDMX,Meter_v2,28,1,12.0
3,2026-08-12,CDMX,Meter_v2,11,1,8.0
3,2026-08-13,CDMX,Meter_v2,11,1,8.1
3,2026-08-14,CDMX,Meter_v2,11,1,12.7
3,2026-08-15,CDMX,Meter_v2,11,1,12.3
3,2026-08-16,CDMX,Meter_v2,11,1,6.7
3,2026-08-17,CDMX,Meter_v2,11,1,14.2
3,2026-08-18,CDMX,Meter_v2,11,1,6.1
3,2026-08-19,CDMX,Meter_v2,11,1,8.6
3,2026-08-20,CDMX,Meter_v2,11,1,9.9
3,2026-08-21,CDMX,Meter_v2,11,1,6.1
3,2026-08-22,CDMX,Meter_v2,11,1,10.6
3,2026-08-23,CDMX,Meter_v2,11,1,6.9
3,2026-08-24,CDMX,Meter_v2,11,1,7.5
3,2026-08-25,CDMX,Meter_v2,11,1,8.6
3,2026-08-26,CDMX,Meter_v2,11,1,8.5
3,2026-08-27,CDMX,Meter_v2,11,1,7.4
3,2026-08-28,CDMX,Meter_v2,11,1,13.9
