market,date,response_rate,rolling_mean,z_score
Monterrey,2026-08-13,0.832,0.924,-4.21
Monterrey,2026-08-14,0.869,0.922,-2.21
Monterrey,2026-08-15,0.85,0.919,-2.53
Monterrey,2026-08-16,0.832,0.917,-2.69
Monterrey,2026-08-17,0.748,0.911,-3.71
Monterrey,2026-08-19,0.766,0.902,-2.59
Monterrey,2026-08-21,0.776,0.894,-2.08
Puebla,2026-08-19,0.7,0.874,-4.73
Puebla,2026-08-20,0.75,0.87,-2.77
Puebla,2026-08-22,0.725,0.862,-2.72
Puebla,2026-08-23,0.725,0.857,-2.35
Tijuana,2026-08-14,0.883,0.928,-3.23
Tijuana,2026-08-15,0.844,0.925,-3.92
Tijuana,2026-08-16,0.818,0.921,-3.64
Tijuana,2026-08-17,0.753,0.916,-3.9
Tijuana,2026-08-18,0.753,0.91,-3.07
Tijuana,2026-08-22,0.74,0.894,-2.53
